,mean_power,median_power,frequency,time,station
0,-99.0206897224537,-98.79142355224091,0.0052556,2015-07-06,3A02
1,-99.97702751007364,-99.96560985049916,0.00573128,2015-07-06,3A02
2,-100.7295947184563,-100.71817705888184,0.00625,2015-07-06,3A02
3,-101.78305773559248,-101.67274773559248,0.00681567,2015-07-06,3A02
4,-102.53563241367209,-102.42532241367208,0.00743254,2015-07-06,3A02
5,-103.71719722945389,-103.68510531456027,0.00810525,2015-07-06,3A02
6,-105.24676393134291,-105.52587265474716,0.00883883,2015-07-06,3A02
7,-105.99934525472317,-106.2784539781274,0.00963882,2015-07-06,3A02
8,-106.9842026152414,-106.94902155141163,0.0105112,2015-07-06,3A02
9,-108.37318931642747,-108.20028144408704,0.0114626,2015-07-06,3A02
10,-109.32797287081821,-109.21407542400974,0.0125,2015-07-06,3A02
11,-110.7021618902563,-110.542693379618,0.0136313,2015-07-06,3A02
12,-111.53233174209086,-111.43802450804829,0.0148651,2015-07-06,3A02
13,-112.7147281647637,-112.75714667540198,0.0162105,2015-07-06,3A02
14,-113.80931168968677,-113.79192977479316,0.0176777,2015-07-06,3A02
15,-114.73084796474365,-114.74003158176492,0.0192776,2015-07-06,3A02
16,-115.889770772947,-115.7724867303938,0.0210224,2015-07-06,3A02
17,-117.04548804746976,-116.95982740917188,0.0229251,2015-07-06,3A02
18,-118.03606943929367,-117.98111007759152,0.025,2015-07-06,3A02
19,-119.02822070007673,-118.9958372958214,0.0272627,2015-07-06,3A02
20,-120.12803433522554,-120.11936050543834,0.0297302,2015-07-06,3A02
21,-121.26442647246745,-121.1841307277866,0.032421,2015-07-06,3A02
22,-122.2172148002808,-122.12411650240844,0.0353553,2015-07-06,3A02
23,-123.21882131861908,-123.12231961649142,0.0385553,2015-07-06,3A02
24,-124.28763250512904,-124.3200442072567,0.0420448,2015-07-06,3A02
25,-125.38441246300077,-125.4621452289582,0.0458502,2015-07-06,3A02
26,-126.5419376689051,-126.54601362635194,0.05,2015-07-06,3A02
27,-127.62745928385417,-127.53652481576908,0.0545254,2015-07-06,3A02
28,-128.69087583924588,-128.66694477541606,0.0594604,2015-07-06,3A02
29,-129.8011281052806,-129.8642806584721,0.064842,2015-07-06,3A02
30,-130.7753072781334,-130.84367004409083,0.0707107,2015-07-06,3A02
31,-131.7117731031914,-131.77152246489354,0.0771105,2015-07-06,3A02
32,-132.353104141177,-132.43888094968764,0.0840896,2015-07-06,3A02
33,-132.51062522536185,-132.4752258636597,0.0917004,2015-07-06,3A02
34,-132.2478069326245,-132.11166501773087,0.1,2015-07-06,3A02
35,-131.6922552691194,-131.5963839925237,0.109051,2015-07-06,3A02
36,-130.1250894598562,-130.10689924709024,0.118921,2015-07-06,3A02
37,-125.84603553547254,-126.06005149291934,0.129684,2015-07-06,3A02
38,-120.4759800322958,-120.39019279825324,0.141421,2015-07-06,3A02
39,-115.90454657344372,-115.31287423301822,0.154221,2015-07-06,3A02
40,-112.96679383247883,-112.21700447077671,0.168179,2015-07-06,3A02
41,-111.44430811522805,-110.60725279607914,0.183401,2015-07-06,3A02
42,-110.47370852065447,-109.7230383078885,0.2,2015-07-06,3A02
43,-109.92191441132913,-109.30759951771208,0.218102,2015-07-06,3A02
44,-109.8121035629517,-109.2322524991219,0.237841,2015-07-06,3A02
45,-109.89098409134662,-109.37705430411262,0.259368,2015-07-06,3A02
46,-110.03811286666046,-109.58271499432,0.282843,2015-07-06,3A02
47,-110.29938020675462,-109.9003525471801,0.308442,2015-07-06,3A02
48,-110.69924849231055,-110.3688399816722,0.336359,2015-07-06,3A02
49,-111.0932331668895,-110.74780125199588,0.366802,2015-07-06,3A02
50,-111.52673155002681,-111.2756826138566,0.4,2015-07-06,3A02
51,-111.8637999993027,-111.54744680781334,0.436203,2015-07-06,3A02
52,-112.20028497033228,-112.02674880011952,0.475683,2015-07-06,3A02
53,-112.65762961920353,-112.42088706601204,0.518736,2015-07-06,3A02
54,-113.25247755893186,-113.05326479297445,0.565685,2015-07-06,3A02
55,-113.97230956260475,-113.53993722217923,0.616884,2015-07-06,3A02
56,-114.7212561563404,-114.40992424144676,0.672717,2015-07-06,3A02
57,-115.4580161835971,-115.0322246942354,0.733603,2015-07-06,3A02
58,-116.1247608619342,-115.9420034151257,0.8,2015-07-06,3A02
59,-116.7257125710083,-116.70741469866786,0.872406,2015-07-06,3A02
60,-117.19162328823325,-117.06841903291412,0.951366,2015-07-06,3A02
61,-117.3973089587994,-117.41124087369302,1.03747,2015-07-06,3A02
62,-117.3711000497175,-117.22488941141964,1.13137,2015-07-06,3A02
63,-117.16646773652157,-117.01779326843644,1.23377,2015-07-06,3A02
64,-116.74954600808584,-116.51545664638373,1.34543,2015-07-06,3A02
65,-116.266779304898,-116.02840909213204,1.46721,2015-07-06,3A02
66,-115.71354471684133,-115.35414684450086,1.6,2015-07-06,3A02
67,-115.12868564499188,-114.68708138967273,1.74481,2015-07-06,3A02
68,-114.45363442940217,-113.95930251450858,1.90273,2015-07-06,3A02
69,-113.71118549110074,-113.10598974641992,2.07494,2015-07-06,3A02
70,-112.92837284005965,-112.24170688261285,2.26274,2015-07-06,3A02
71,-112.10937469823057,-111.44947682589012,2.46754,2015-07-06,3A02
72,-111.27877490275372,-110.61181107296652,2.69087,2015-07-06,3A02
73,-110.41374514214453,-109.66493450384668,2.93441,2015-07-06,3A02
74,-109.52203984595081,-108.65405048424869,3.2,2015-07-06,3A02
75,-108.60944049398094,-107.6482213450448,3.48962,2015-07-06,3A02
76,-107.70511362809107,-106.63473064936764,3.80546,2015-07-06,3A02
77,-106.8036135623557,-105.65289228575992,4.14989,2015-07-06,3A02
78,-105.91065894557211,-104.7034908604657,4.52548,2015-07-06,3A02
79,-105.0469970134409,-103.69023956663236,4.93507,2015-07-06,3A02
80,-104.19439418578017,-102.74556865386528,5.38174,2015-07-06,3A02
81,-103.37606150152467,-101.73963809726936,5.86883,2015-07-06,3A02
82,-102.60362148335341,-100.94137467484278,6.4,2015-07-06,3A02
83,-101.87043456879496,-100.13714946241198,6.97925,2015-07-06,3A02
84,-101.08563014836226,-99.3429833398516,7.61093,2015-07-06,3A02
85,-100.20262134832257,-98.47512347598214,8.29977,2015-07-06,3A02
86,-99.14406201371287,-97.56929818392562,9.05097,2015-07-06,3A02
87,-97.81081672569621,-96.46537630016432,9.87015,2015-07-06,3A02
88,-96.29806685506912,-94.8688796210266,10.7635,2015-07-06,3A02
89,-94.90155160273824,-93.53559841124888,11.7377,2015-07-06,3A02
90,-93.61324353662114,-92.308839281302,12.8,2015-07-06,3A02
91,-92.36576959529584,-91.0616568293384,13.9585,2015-07-06,3A02
92,-91.46612306432867,-90.21252093666912,15.2219,2015-07-06,3A02
93,-91.19733249098242,-89.95005802289734,16.5995,2015-07-06,3A02
94,-90.8985910408281,-89.67501870040257,18.1019,2015-07-06,3A02
95,-89.66322135214122,-88.39075113937525,19.7403,2015-07-06,3A02
96,-80.42237117936826,-79.15854777511294,21.5269,2015-07-06,3A02
97,-47.03733877107543,-45.91320260086267,23.4753,2015-07-06,3A02
98,-99.84880057351752,-99.82862355224093,0.0052556,2015-07-07,3A02
99,-100.5432753824141,-100.55560985049917,0.00573128,2015-07-07,3A02
100,-101.29584259079671,-101.30817705888184,0.00625,2015-07-07,3A02
101,-102.22573454410313,-102.16804773559248,0.00681567,2015-07-07,3A02
102,-102.97830922218272,-102.92062241367208,0.00743254,2015-07-07,3A02
103,-103.84858212307091,-103.83530531456027,0.00810525,2015-07-07,3A02
104,-104.94960903772586,-104.88217265474717,0.00883883,2015-07-07,3A02
105,-105.70219036110612,-105.6347539781274,0.00963882,2015-07-07,3A02
106,-106.73705750885848,-106.74012155141163,0.0105112,2015-07-07,3A02
107,-108.05614569940619,-108.05524144408706,0.0114626,2015-07-07,3A02
108,-108.98886946656289,-109.05028542400972,0.0125,2015-07-07,3A02
109,-110.20824997536269,-110.163203379618,0.0136313,2015-07-07,3A02
110,-111.16267301868658,-111.16762450804828,0.0148651,2015-07-07,3A02
111,-112.59897433497645,-112.662016675402,0.0162105,2015-07-07,3A02
112,-113.79531594500594,-113.73233977479316,0.0176777,2015-07-07,3A02
113,-114.67043690091384,-114.55172158176492,0.0192776,2015-07-07,3A02
114,-115.79276290060656,-115.7192667303938,0.0210224,2015-07-07,3A02
115,-116.89286740917191,-116.81673740917186,0.0229251,2015-07-07,3A02
116,-117.9890441201447,-117.97159007759151,0.025,2015-07-07,3A02
117,-119.0156628277363,-119.0547072958214,0.0272627,2015-07-07,3A02
118,-119.98489667565107,-119.99823050543831,0.0297302,2015-07-07,3A02
119,-121.10555349374407,-121.1452607277866,0.032421,2015-07-07,3A02
120,-121.99615437474885,-122.14905650240844,0.0353553,2015-07-07,3A02
121,-122.82979940372549,-123.26716961649144,0.0385553,2015-07-07,3A02
122,-123.81277378172479,-124.3701542072567,0.0420448,2015-07-07,3A02
123,-124.85285501619225,-125.4739552289582,0.0458502,2015-07-07,3A02
124,-125.84482426464982,-126.41318362635194,0.05,2015-07-07,3A02
125,-126.81942098598185,-127.53300481576906,0.0545254,2015-07-07,3A02
126,-127.84706030733098,-128.62459477541606,0.0594604,2015-07-07,3A02
127,-128.874161084004,-129.6902806584721,0.064842,2015-07-07,3A02
128,-129.80724940579296,-130.70011004409082,0.0707107,2015-07-07,3A02
129,-130.73781672021266,-131.68337246489352,0.0771105,2015-07-07,3A02
130,-131.30397648160258,-132.35585094968766,0.0840896,2015-07-07,3A02
131,-131.43080309770227,-132.6293458636597,0.0917004,2015-07-07,3A02
132,-131.32912203900744,-132.62583501773088,0.1,2015-07-07,3A02
133,-130.95058143933218,-132.2413739925237,0.109051,2015-07-07,3A02
134,-130.3090981832605,-131.53582924709025,0.118921,2015-07-07,3A02
135,-128.66936936525977,-129.67740149291933,0.129684,2015-07-07,3A02
136,-125.2155523727213,-124.85739279825324,0.141421,2015-07-07,3A02
137,-120.89420827557137,-120.9879742330182,0.154221,2015-07-07,3A02
138,-118.20611085375543,-118.58080447077674,0.168179,2015-07-07,3A02
139,-117.06613790246209,-117.51235279607911,0.183401,2015-07-07,3A02
140,-115.8457212866119,-116.2939383078885,0.2,2015-07-07,3A02
141,-114.84642504962699,-115.31959951771208,0.218102,2015-07-07,3A02
142,-114.39913335018574,-114.89025249912191,0.237841,2015-07-07,3A02
143,-114.17193515517647,-114.56105430411262,0.259368,2015-07-07,3A02
144,-114.21324478155407,-114.59381499432,0.282843,2015-07-07,3A02
145,-114.41311212164821,-114.8518525471801,0.308442,2015-07-07,3A02
146,-114.73632934337434,-115.0633399816722,0.336359,2015-07-07,3A02
147,-115.15451614561292,-115.38770125199588,0.366802,2015-07-07,3A02
148,-115.63159963513321,-115.7111826138566,0.4,2015-07-07,3A02
149,-116.0933744673878,-116.04074680781332,0.436203,2015-07-07,3A02
150,-116.62762752352377,-116.51274880011954,0.475683,2015-07-07,3A02
151,-117.29183387452271,-117.19238706601205,0.518736,2015-07-07,3A02
152,-118.09895415467658,-117.96666479297444,0.565685,2015-07-07,3A02
153,-119.07708828600906,-118.92993722217926,0.616884,2015-07-07,3A02
154,-120.16970509251063,-120.05922424144676,0.672717,2015-07-07,3A02
155,-121.33619277934177,-121.22212469423542,0.733603,2015-07-07,3A02
156,-122.62055660661507,-122.5714034151257,0.8,2015-07-07,3A02
157,-124.09803597526356,-124.14361469866785,0.872406,2015-07-07,3A02
158,-125.71174669248862,-125.92701903291412,0.951366,2015-07-07,3A02
159,-127.35602598007598,-127.663140873693,1.03747,2015-07-07,3A02
160,-128.92266175184514,-129.48508941141964,1.13137,2015-07-07,3A02
161,-130.32216560886195,-131.22019326843642,1.23377,2015-07-07,3A02
162,-131.52302047617096,-132.4733566463837,1.34543,2015-07-07,3A02
163,-132.5081303687278,-133.25190909213205,1.46721,2015-07-07,3A02
164,-133.27623195088384,-133.96234684450087,1.6,2015-07-07,3A02
165,-133.8179835173323,-134.3953813896727,1.74481,2015-07-07,3A02
166,-134.04291528046605,-134.4776025145086,1.90273,2015-07-07,3A02
167,-134.1610301719518,-134.44458974641992,2.07494,2015-07-07,3A02
168,-134.21257922303838,-134.24520688261285,2.26274,2015-07-07,3A02
169,-134.10696831525183,-133.8988768258901,2.46754,2015-07-07,3A02
170,-133.9166451155197,-133.63571107296653,2.69087,2015-07-07,3A02
171,-133.71224301448498,-133.30373450384667,2.93441,2015-07-07,3A02
172,-133.5347675055253,-133.03585048424867,3.2,2015-07-07,3A02
173,-133.35802772802353,-132.8878213450448,3.48962,2015-07-07,3A02
174,-133.23037958553786,-132.76063064936764,3.80546,2015-07-07,3A02
175,-133.15486675384506,-132.7413922857599,4.14989,2015-07-07,3A02
176,-133.06766958386999,-132.7334908604657,4.52548,2015-07-07,3A02
177,-133.02416084322815,-132.76593956663237,4.93507,2015-07-07,3A02
178,-132.99638184535465,-132.89856865386528,5.38174,2015-07-07,3A02
179,-132.88664277812043,-132.98543809726937,5.86883,2015-07-07,3A02
180,-132.6197310578215,-132.9104746748428,6.4,2015-07-07,3A02
181,-132.2072098879439,-132.70144946241197,6.97925,2015-07-07,3A02
182,-131.54495908453242,-131.59458333985162,7.61093,2015-07-07,3A02
183,-130.39498943342895,-130.71442347598213,8.29977,2015-07-07,3A02
184,-128.79468946052137,-128.85099818392564,9.05097,2015-07-07,3A02
185,-126.67818566186645,-126.4008763001643,9.87015,2015-07-07,3A02
186,-123.94746259975001,-123.3337796210266,10.7635,2015-07-07,3A02
187,-121.27984756018503,-120.56869841124887,11.7377,2015-07-07,3A02
188,-119.14737757917433,-118.513239281302,12.8,2015-07-07,3A02
189,-117.30050363784905,-116.5717568293384,13.9585,2015-07-07,3A02
190,-115.8446507239032,-115.12822093666912,15.2219,2015-07-07,3A02
191,-115.367804831408,-114.64205802289732,16.5995,2015-07-07,3A02
192,-114.88164210465789,-114.14001870040258,18.1019,2015-07-07,3A02
193,-113.37198518192845,-112.61255113937526,19.7403,2015-07-07,3A02
194,-103.81304139213422,-103.15474777511294,21.5269,2015-07-07,3A02
195,-70.21828983490524,-69.50320260086266,23.4753,2015-07-07,3A02
196,-98.69293823309198,-98.66842355224092,0.0052556,2015-07-08,3A02
197,-100.02467091432894,-100.22960985049916,0.00573128,2015-07-08,3A02
198,-100.77723812271164,-100.98217705888185,0.00625,2015-07-08,3A02
