,array_baz,array_slow,array_vel,mdccm,conf_int_vel,conf_int_baz,time,baz_error,slow_error,max_freq,min_freq,window_length,window_start,multiple_triggers,no_triggers,trigger_time,trigger_type,sta/lta,trigger_length,num_stations,array_lat,array_lon,event_id,velocity_model,array_processing,min_triggers,depth,magnitude,latitude,longitude,time_utc,time_ak,distance,backazimuth,array,slowness,trace_vel,incident_angle,p_arrival
0,140.84640128616073,0.12729242644812738,7.855926922781282,0.24941268248862536,0.10828736799110111,88.45424568288432,2016-04-25T11:08:15.685000Z,-59.22278648597401,-0.0011390757890085978,10,0.5,6,-1,peak,max mdccm,2016-04-25T11:08:13.682273Z,STA/LTA trigger,31.837649044391494,0.09000000000000001,10,53.85690833333333,-166.41502499999999,us10005ckh,pavdut,lts,3,40.15,3.4,54.041,-164.0144,2016-04-25T11:07:50.010000Z,2016-04-25T03:07:50.010000Z,158.9337360624583,81.62361480018672,POM,0.12615335065911878,7.92686040263899,22.629320765294217,23.112272725953073
1,163.8665703106627,0.203412122181557,4.916127855484653,0.5714815173822795,0.18308249223097794,2.1250716891331933,2016-04-25T12:25:25.065000Z,-10.741947863621021,-0.07324191379763734,10,0.5,6,-1,peak,max mdccm,2016-04-25T12:25:23.075990Z,Multiple triggers,61.51485787630125,0.17800000000000002,10,53.85690833333333,-166.41502499999999,us10005ckm,pavdut,lts,3,12.82,3.8,52.4302,-165.237,2016-04-25T12:24:54.740000Z,2016-04-25T04:24:54.740000Z,177.2613223381456,153.12462244704167,POM,0.13017020838391966,7.682249359627923,23.39196201506882,26.265990171234005
2,134.26656900043724,0.16202353499414204,6.1719428602527096,0.3200971318646989,3.455841617248731,23.327975990729414,2016-04-25T11:50:42.065000Z,-63.26675786868482,-0.03655314728746978,10,0.5,6,-1,peak,max mdccm,2016-04-25T11:50:42.056273Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us10005ckl,pavdut,lts,3,19.13,3.7,54.9687,-159.9297,2016-04-25T11:49:43.080000Z,2016-04-25T03:49:43.080000Z,438.68566051576795,70.99981113175242,POM,0.12547038770667227,7.970008049531371,22.500077529351273,58.97627331811529
3,210.23256320393034,0.6054604836125159,1.651635452793617,0.2727731314998779,0.8479507218872668,10.550939342507718,2016-04-24T04:50:19.285000Z,-138.7295247098998,-0.4797113999725096,10,0.5,6,-1,peak,max mdccm,2016-04-24T04:50:17.283586Z,Multiple triggers,30.728919879526888,0.095,10,53.85690833333333,-166.41502499999999,us10005cyr,pavdut,lts,3,10.0,3.2,54.6958,-161.5904,2016-04-24T04:49:31.220000Z,2016-04-23T20:49:31.220000Z,327.78089391598866,71.50303849403053,POM,0.1257490836400063,7.952344232287162,22.552803045650716,45.73358561470344
4,207.83515195903396,0.24940420205339003,4.009555539829797,0.27094232013007646,4.237989016241014,40.68230245902106,2016-04-25T06:16:55.005000Z,10.930781460145084,-0.12364666543075864,10,0.5,6,-1,peak,max mdccm,2016-04-25T06:16:55.005273Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us10005cke,pavdut,lts,3,34.91,3.7,52.1809,-168.5785,2016-04-25T06:16:22.060000Z,2016-04-24T22:16:22.060000Z,236.34016946950283,218.76593341917905,POM,0.1257575366226314,7.951809703467421,22.554402550719672,32.94527264356366
5,215.3855139511354,0.20227002688537485,4.943886226735382,0.5152669434130672,0.31686102884187406,3.722393430393197,2016-04-23T20:16:51.245000Z,23.442498678085627,-0.07720443366824714,10,0.5,6,-1,peak,max mdccm,2016-04-23T20:16:49.251862Z,Multiple triggers,35.76648509704131,0.08,10,53.85690833333333,-166.41502499999999,us20005l8g,pavdut,lts,3,46.56,4.2,52.0147,-171.0999,2016-04-23T20:15:58.160000Z,2016-04-23T12:15:58.160000Z,375.7163596425927,238.82801262922104,POM,0.1250655932171277,7.995804235813198,22.423531627987987,50.291862358602415
6,165.14661879285285,2.045785789448618,0.48880973030393415,0.2621197502906979,0.5456879671898944,40.60554502998082,2016-04-24T00:42:29.125000Z,88.72305549227906,-1.922997038096181,10,0.5,6,-1,peak,max mdccm,2016-04-24T00:42:27.133880Z,Multiple triggers,32.280452346728865,0.065,10,53.85690833333333,-166.41502499999999,us10005cyq,pavdut,lts,3,37.95,3.8,51.427,-177.1278,2016-04-24T00:40:46.890000Z,2016-04-23T16:40:46.890000Z,772.9952102443574,253.8696742851319,POM,0.12278875135243708,8.144068483355843,21.993764861564095,99.77388019050018
7,128.36622783025132,0.23162397033215562,4.3173424519317685,0.20854780223497352,0.2022117186692628,84.49255691820414,2016-04-23T11:37:54.345000Z,-58.491012456918796,-0.10614543769290011,10,0.5,6,-1,peak,max mdccm,2016-04-23T11:37:57.353630Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us10005ccl,pavdut,lts,3,15.21,3.5,55.0552,-159.8866,2016-04-23T11:36:57.480000Z,2016-04-23T03:36:57.480000Z,443.73133156170456,69.87521537333252,POM,0.1254785326392555,7.969490708621449,22.501618155560397,59.873630409138784
8,221.00584592051507,0.15673322303968534,6.380268207378068,0.5163995343250253,0.42579930027517277,4.197168209058873,2016-04-22T11:16:40.025000Z,32.65582216705556,-0.03549196713725271,10,0.5,6,-1,peak,max mdccm,2016-04-22T11:16:38.031123Z,Multiple triggers,26.849782243018574,0.027999999999999997,10,53.85690833333333,-166.41502499999999,us10005cb9,pavdut,lts,3,100.3,3.6,52.684,-172.204,2016-04-22T11:15:40.270000Z,2016-04-22T03:15:40.270000Z,407.54436549702865,253.66166808757063,POM,0.12124125590243263,8.248017496657551,21.702409505265905,54.38112320908254
9,344.5518493863352,0.2752863760960264,3.6325807843508255,0.28508532527612995,0.5419108072412017,63.538410662241276,2016-04-24T01:44:50.505000Z,71.4559764658535,-0.15252825941774967,10,0.5,6,-1,peak,max mdccm,2016-04-24T01:44:50.508054Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,ak0165a7nka4,pavdut,lts,3,57.8,3.5,57.6031,-154.5168,2016-04-24T01:43:01.243000Z,2016-04-23T17:43:01.243000Z,854.3458211822523,56.00782585218873,POM,0.12275811667827674,8.146100861263537,21.98799132463868,109.26505408467129
10,329.8746143874023,1.717739542151827,0.5821604355380278,0.27707951304331824,0.8044249706183128,43.23005610313213,2016-04-23T18:15:56.345000Z,93.88656798773172,-1.5949589288545127,10,0.5,6,-1,peak,max mdccm,2016-04-23T18:15:59.348812Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,ak01658u2f76,pavdut,lts,3,62.9,3.1,56.3027,-155.84,2016-04-23T18:14:25.781000Z,2016-04-23T10:14:25.781000Z,727.2740531994488,63.76118237513401,POM,0.12278061329731424,8.144608282567313,21.992231107244578,93.56781249845535
11,217.63129582678232,0.15776374410346547,6.338591960293327,0.5512842533755405,0.38744872209427816,3.9793007993964977,2016-04-25T14:18:10.765000Z,30.776677897415624,-0.033814471619644584,10,0.5,6,-1,peak,max mdccm,2016-04-25T14:18:08.763286Z,Multiple triggers,24.312845110006666,0.076,10,53.85690833333333,-166.41502499999999,us20005lka,pavdut,lts,3,42.85,4.6,51.5516,-174.5958,2016-04-25T14:16:46.640000Z,2016-04-25T06:16:46.640000Z,609.1092903002655,248.40797372419794,POM,0.12394927248382089,8.067816615305508,22.212655317321968,79.42328636231144
12,131.71132575682884,0.42289047408375957,2.36467847181144,0.34574477711536883,0.8167059907295977,17.28797495968115,2016-04-25T14:35:24.785000Z,115.65327007869803,-0.2984664196667759,10,0.5,6,-1,peak,max mdccm,2016-04-25T14:35:27.789830Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us20005lke,pavdut,lts,3,26.4,4.3,51.44,-174.589,2016-04-25T14:34:07.180000Z,2016-04-25T06:34:07.180000Z,614.6427872576661,247.3645958355269,POM,0.12442405441698366,8.037031140688354,22.302304115143848,80.6098299147412
13,148.41837159538937,1.8835196792246172,0.5309209195051612,0.2800757628888402,2.181189083161766,61.18329501433459,2016-04-24T08:38:55.185000Z,-95.9740537745565,-1.7592263430110093,10,0.5,6,-1,peak,max mdccm,2016-04-24T08:38:58.182448Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,ak0165absdi7,pavdut,lts,3,12.8,3.0,57.1866,-157.7212,2016-04-24T08:37:30.877000Z,2016-04-24T00:37:30.877000Z,661.7599673136918,52.44431782083288,POM,0.12429333621360793,8.045483615319657,22.277616044256007,87.30544849239665
14,74.55011779260042,1.131548321792571,0.883744848311758,0.26011397718656826,1.816914646469858,44.877305729931976,2016-04-24T05:29:35.625000Z,-21.284735445534437,-1.0072251498773304,10,0.5,6,-1,peak,max mdccm,2016-04-24T05:29:33.618433Z,Multiple triggers,31.917131161444765,0.105,10,53.85690833333333,-166.41502499999999,ak0165a9y33o,pavdut,lts,3,15.7,3.5,57.0745,-157.7677,2016-04-24T05:28:03.089000Z,2016-04-23T21:28:03.089000Z,653.0803553200919,53.26538234706599,POM,0.12432317191524067,8.043552819596384,22.283250574876863,85.99943282000855
